id_cycle,cost_image,cost_lab,supportive_care
1,710,730.6,446.09
2,0,730.6,446.09
3,710,730.6,446.09
4,0,730.6,446.09
5,710,730.6,446.09
6,0,730.6,446.09
7,710,730.6,446.09
8,0,730.6,446.09
9,710,730.6,446.09
10,0,730.6,446.09
11,710,730.6,446.09
12,0,730.6,446.09
13,710,730.6,446.09
14,0,730.6,446.09
15,710,730.6,446.09
16,0,730.6,446.09
17,710,730.6,446.09
18,0,730.6,446.09
19,0,730.6,446.09
20,710,730.6,446.09
21,0,730.6,446.09
22,0,730.6,446.09
23,710,730.6,446.09
24,0,730.6,446.09
25,0,730.6,446.09
26,710,730.6,446.09
27,0,730.6,446.09
28,0,730.6,446.09
29,710,730.6,446.09
30,0,730.6,446.09
31,0,730.6,446.09
32,710,730.6,446.09
33,0,730.6,446.09
34,0,730.6,446.09
35,710,730.6,446.09
36,0,730.6,446.09
37,0,730.6,446.09
38,710,730.6,446.09
39,0,730.6,446.09
40,0,730.6,446.09
41,710,730.6,446.09
42,0,730.6,446.09
43,0,730.6,446.09
44,710,730.6,446.09
45,0,730.6,446.09
46,0,730.6,446.09
47,710,730.6,446.09
48,0,730.6,446.09
49,0,730.6,446.09
50,710,730.6,446.09
51,0,730.6,446.09
52,0,730.6,446.09
53,710,730.6,446.09
54,0,730.6,446.09
55,0,730.6,446.09
56,710,730.6,446.09
57,0,730.6,446.09
58,0,730.6,446.09
59,710,730.6,446.09
60,0,730.6,446.09
61,0,730.6,446.09
62,710,730.6,446.09
63,0,730.6,446.09
64,0,730.6,446.09
65,710,730.6,446.09
66,0,730.6,446.09
67,0,730.6,446.09
68,710,730.6,446.09
69,0,730.6,446.09
70,0,730.6,446.09
71,710,730.6,446.09
72,0,730.6,446.09
73,0,730.6,446.09
74,710,730.6,446.09
75,0,730.6,446.09
76,0,730.6,446.09
77,710,730.6,446.09
78,0,730.6,446.09
79,0,730.6,446.09
80,710,730.6,446.09
81,0,730.6,446.09
82,0,730.6,446.09
83,710,730.6,446.09
84,0,730.6,446.09
85,0,730.6,446.09
86,710,730.6,446.09
87,0,730.6,446.09
88,0,730.6,446.09
89,710,730.6,446.09
90,0,730.6,446.09
91,0,730.6,446.09
92,710,730.6,446.09
93,0,730.6,446.09
94,0,730.6,446.09
95,710,730.6,446.09
96,0,730.6,446.09
97,0,730.6,446.09
98,710,730.6,446.09
99,0,730.6,446.09
100,0,730.6,446.09
101,710,730.6,446.09
102,0,730.6,446.09
103,0,730.6,446.09
104,710,730.6,446.09
105,0,730.6,446.09
106,0,730.6,446.09
107,710,730.6,446.09
108,0,730.6,446.09
109,0,730.6,446.09
110,710,730.6,446.09
111,0,730.6,446.09
112,0,730.6,446.09
113,710,730.6,446.09
114,0,730.6,446.09
115,0,730.6,446.09
116,710,730.6,446.09
117,0,730.6,446.09
118,0,730.6,446.09
119,710,730.6,446.09
120,0,730.6,446.09
121,0,730.6,446.09
122,710,730.6,446.09
123,0,730.6,446.09
124,0,730.6,446.09
125,710,730.6,446.09
126,0,730.6,446.09
127,0,730.6,446.09
128,710,730.6,446.09
129,0,730.6,446.09
130,0,730.6,446.09
131,710,730.6,446.09
132,0,730.6,446.09
133,0,730.6,446.09
134,710,730.6,446.09
135,0,730.6,446.09
136,0,730.6,446.09
137,710,730.6,446.09
138,0,730.6,446.09
139,0,730.6,446.09
140,710,730.6,446.09
141,0,730.6,446.09
142,0,730.6,446.09
143,710,730.6,446.09
144,0,730.6,446.09
145,0,730.6,446.09
146,710,730.6,446.09
147,0,730.6,446.09
148,0,730.6,446.09
149,710,730.6,446.09
150,0,730.6,446.09
151,0,730.6,446.09
152,710,730.6,446.09
153,0,730.6,446.09
154,0,730.6,446.09
155,710,730.6,446.09
156,0,730.6,446.09
157,0,730.6,446.09
158,710,730.6,446.09
159,0,730.6,446.09
160,0,730.6,446.09
161,710,730.6,446.09
162,0,730.6,446.09
163,0,730.6,446.09
164,710,730.6,446.09
165,0,730.6,446.09
166,0,730.6,446.09
167,710,730.6,446.09
168,0,730.6,446.09
169,0,730.6,446.09
170,710,730.6,446.09
171,0,730.6,446.09
172,0,730.6,446.09
